Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0402_1005Metric",158.575000,-106.525000,45.000000,top
"C2","0.1uF","C_0402_1005Metric",155.175000,-117.230000,-90.000000,top
"C3","0.1uF","C_0402_1005Metric",147.925000,-112.830000,180.000000,top
"C4","0.1uF","C_0402_1005Metric",148.525000,-108.000000,180.000000,top
"C5","0.1uF","C_0402_1005Metric",157.075000,-106.750000,90.000000,top
"C6","0.1uF","C_0402_1005Metric",154.425000,-103.550000,90.000000,top
"C7","0.1uF","C_0402_1005Metric",155.385000,-102.810000,90.000000,top
"C8","0.1uF","C_0402_1005Metric",158.405000,-108.175000,0.000000,top
"C9","0.1uF","C_0402_1005Metric",159.395000,-112.580000,0.000000,top
"C10","1uF","C_0402_1005Metric",156.215000,-117.240000,-90.000000,top
"C11","0.1uF","C_0402_1005Metric",156.100000,-106.420000,90.000000,top
"C12","0.1uF","C_0402_1005Metric",153.400000,-103.545000,90.000000,top
"C13","10uF","C_0603_1608Metric",149.965000,-90.780000,180.000000,top
"C14","10uF","C_0603_1608Metric",150.975000,-96.550000,180.000000,top
"C15","33pF","C_0402_1005Metric",149.875000,-119.400000,-90.000000,top
"C16","33pF","C_0402_1005Metric",155.300000,-119.100000,90.000000,top
"C17","0.1uF","C_0402_1005Metric",151.025000,-101.950000,180.000000,top
"C18","33pF","C_0402_1005Metric",128.020000,-104.800000,0.000000,top
"C19","33pF","C_0402_1005Metric",126.500000,-110.980000,90.000000,top
"C20","0.1uF","C_0402_1005Metric",129.980000,-121.000000,180.000000,top
"C21","0.1uF","C_0402_1005Metric",129.980000,-120.000000,180.000000,top
"C22","0.1uF","C_0402_1005Metric",136.000000,-117.520000,-90.000000,top
"C23","1uF","C_0402_1005Metric",135.000000,-117.520000,-90.000000,top
"C24","1uF","C_0402_1005Metric",128.020000,-120.000000,180.000000,top
"C25","0.1uF","C_0402_1005Metric",128.020000,-119.000000,180.000000,top
"C26","0.1uF","C_0402_1005Metric",128.020000,-118.000000,180.000000,top
"C27","0.1uF","C_0402_1005Metric",128.020000,-117.000000,180.000000,top
"C28","0.1uF","C_0402_1005Metric",128.020000,-116.000000,180.000000,top
"C29","0.1uF","C_0402_1005Metric",128.020000,-114.650000,180.000000,top
"C30","0.1uF","C_0402_1005Metric",129.980000,-116.000000,0.000000,top
"C31","0.1uF","C_0402_1005Metric",129.980000,-117.000000,0.000000,top
"C32","0.1uF","C_0402_1005Metric",129.980000,-118.000000,0.000000,top
"C33","0.1uF","C_0402_1005Metric",130.020000,-119.000000,0.000000,top
