Designator,Mid X,Mid Y,Rotation,Layer
C1,158.575,-106.525,45.0,top
C10,156.215,-117.24,270.0,top
C11,156.1,-106.42,90.0,top
C12,153.4,-103.545,90.0,top
C13,149.965,-90.78,180.0,top
C14,150.975,-96.55,180.0,top
C15,149.875,-119.4,270.0,top
C16,155.3,-119.1,90.0,top
C17,151.025,-101.95,180.0,top
C18,128.02,-104.8,0.0,top
C19,126.5,-110.98,90.0,top
C2,155.175,-117.23,270.0,top
C20,129.98,-121.0,180.0,top
C21,129.3,-119.2,180.0,top
C22,136.0,-117.52,270.0,top
C23,135.0,-117.52,270.0,top
C24,145.3,-104.52,90.0,top
C25,130.02,-109.5,180.0,top
C26,142.0,-108.0,0.0,top
C27,141.6,-113.6,270.0,top
C28,134.0254,-117.5,270.0,top
C29,129.92,-114.5,180.0,top
C3,147.925,-112.83,180.0,top
C30,129.98,-116.0,0.0,top
C31,129.98,-117.0,0.0,top
C32,139.2,-117.1,180.0,top
C33,126.8,-112.5,180.0,top
C34,130.02,-110.5,180.0,top
C35,132.0,-105.52,90.0,top
C36,133.5,-105.48,90.0,top
C37,144.75,-113.4,0.0,top
C38,145.52,-101.3,0.0,top
C39,130.0,-105.52,90.0,top
C4,148.525,-108.0,180.0,top
C40,131.0,-105.52,90.0,top
C5,157.075,-106.75,90.0,top
C6,154.425,-103.55,90.0,top
C7,155.385,-102.81,90.0,top
C8,158.405,-108.175,0.0,top
C9,159.395,-112.58,0.0,top
FB1,127.6,-118.3,90.0,top
FB2,127.6,-115.2,90.0,top
FB3,146.0,-102.5,180.0,top
FB4,133.6,-121.4875,270.0,top
J1,153.375,-84.6,180.0,top
J2,144.5,-124.0,0.0,top
J3,162.265,-107.6,0.0,bottom
J4,152.0,-131.25,90.0,top
J5,147.04,-97.587,0.0,top
J6,134.64,-95.4,180.0,top
R1,152.025,-90.99,270.0,top
R10,142.0,-106.8,180.0,top
R11,130.01,-122.0,180.0,top
R12,142.0,-115.51,90.0,top
R13,128.74,-112.75,180.0,top
R15,135.5,-105.51,270.0,top
R16,128.9,-108.4,180.0,top
R2,154.765,-90.92,270.0,top
R3,154.05,-106.09,270.0,top
R4,155.1,-106.09,270.0,top
R5,153.315,-116.91,180.0,top
R6,156.9,-99.25,0.0,top
R7,149.095,-101.97,0.0,top
R8,127.0,-109.5,0.0,top
R9,140.5,-105.5,0.0,top
SW1,156.425,-95.85,270.0,top
U1,153.375,-111.6,90.0,top
U2,150.925,-93.65,270.0,top
U3,136.0,-111.5,0.0,top
U4,150.175,-103.925,0.0,top
Y1,152.525,-119.23,180.0,top
Y2,124.9,-107.25,0.0,top
